title,status,category,tags,release_date,price,is_free,platforms,publisher,developer,description,review_summary,deal_name,deal_expiry,image_url,store_url
Football Manager 26 In-Game Editor,,,"Strategy, Simulation, Sports, Football (Soccer), Multiplayer, Singleplayer, Management","4 Nov, 2025",₹699.00,False,,SEGA,Sports Interactive,,7% of the 305 user reviews for this game are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3551410/fc529c1a969c900a2cb42a0620a7c15ebef888a1/capsule_231x87.jpg?t=1762272152,https://store.steampowered.com/app/3551410/Football_Manager_26_InGame_Editor/?snr=1_7_7_7000_150_1
Clair Obscur: Expedition 33,,,,"24 Apr, 2025","₹2,399.00",False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/001d4a5d81e4bb9055b789240e78e04ef6e6da38/capsule_231x87.jpg?t=1761303074,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1
ARC Raiders - Upgrade to Deluxe Edition,,,Action,"30 Oct, 2025","₹1,233.00",False,,Embark Studios,Embark Studios,,86% of the 139 user reviews for this game are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3948510/977e4f3d5d1bdd5d60d097bdfd0e44a21dddec71/capsule_231x87.jpg?t=1761816660,https://store.steampowered.com/app/3948510/ARC_Raiders__Upgrade_to_Deluxe_Edition/?snr=1_7_7_7000_150_1
Warframe,,,,"25 Mar, 2013",Free,True,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230410/75b31abf9c1b62d78e5e6c83a44c05ef390e0fe2/capsule_231x87.jpg?t=1760556657,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1
Dota 2,,,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation","9 Jul, 2013",Free,True,,Valve,Valve,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","72% of the 20,761 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/capsule_231x87.jpg?t=1757000652,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1
Umamusume: Pretty Derby,,,"Anime, Horses, Gambling, Free to Play, Cute, Roguelite, Sports, Racing, Roguelike, Simulation, Management, Funny, Visual Novel, 3D, Singleplayer, Great Soundtrack, PvP, Story Rich, Dating Sim, Horror","24 Jun, 2025",Free,True,,"Cygames, Inc.","Cygames, Inc.",Umamusume: Pretty Derby is ready to race! Scout featured trainees and supporters as you navigate the immersive sports life simulation through the game's in-depth training system and top-of-the-line 3D graphics!,"91% of the 2,174 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3224770/8ec1b9ecbdf9af10a1c21aaf1b2a2f3be58bf097/capsule_231x87.jpg?t=1760517179,https://store.steampowered.com/app/3224770/Umamusume_Pretty_Derby/?snr=1_7_7_7000_150_1
Farming Simulator 25,,,"Simulation, Farming Sim, Realistic, Multiplayer, 3D, First-Person, Time Management, Economy, Immersive Sim, Third Person, Building, Management, Atmospheric, Relaxing, Nature, Online Co-Op, Farming, Physics, Singleplayer, Moddable","12 Nov, 2024","₹1,999.00",False,,GIANTS Software,GIANTS Software,"Farming Simulator 25 invites you to join the rewarding farm life, single-handedly or cooperatively in multiplayer. This Farm is Your Farm!","91% of the 1,126 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2300320/capsule_231x87.jpg?t=1761296764,https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_7000_150_1
EA SPORTS FC™ 26,,,"Football (Soccer), Sports, Simulation, Multiplayer, Singleplayer, Competitive, Controller, Realistic, Online Co-Op, Local Co-Op, Local Multiplayer, PvP, Family Friendly, eSports, Modern, Open World, Co-op, LGBTQ+, Horror","25 Sep, 2025","₹3,998.00",False,,Electronic Arts,"EA Canada, EA Romania","The Club is Yours in EA SPORTS FC™ 26. Play your way with an overhauled gameplay experience powered by community feedback, Manager Live Challenges that bring fresh storylines to the new season, and Archetypes inspired by greats of the game.","40% of the 6,714 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 10 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3405690/abca0fd9695521a046d407327d82f808162315f7/capsule_231x87.jpg?t=1761904811,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/?snr=1_7_7_7000_150_1
Red Dead Redemption 2,,,"Open World, Story Rich, Western, Multiplayer, Adventure, Action, Realistic, Singleplayer, Shooter, Horses, Beautiful, Atmospheric, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS","5 Dec, 2019","₹1,539.00",False,,Rockstar Games,Rockstar Games,"Arthur Morgan and the Van der Linde Gang are outlaws on the run. With federal agents and bounty hunters massing on their heels, the gang must rob, steal, and fight their way across the rugged heartland in order to survive.","94% of the 11,470 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 13 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1174180/capsule_231x87.jpg?t=1759502961,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_7000_150_1
Rust,,,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Post-apocalyptic, Early Access, Simulation","8 Feb, 2018","₹1,020.00",False,,Facepunch Studios,Facepunch Studios,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.","83% of the 10,661 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends in,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/21aac0b6e20e1ba12f635e7deb730e32a51afbd5/capsule_231x87.jpg?t=1761667247,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1
NBA 2K26,,,"Gambling, Sports, Basketball, Simulation, eSports, 3D, PvP, Management, Singleplayer, Character Customization, Controller, Multiplayer, Team-Based, Online Co-Op, Immersive Sim, Trading, Co-op, Sexual Content, Local Multiplayer, Local Co-Op","4 Sep, 2025","₹2,299.00",False,,2K,Visual Concepts,"Bragging rights are on the line in MyCAREER, MyTEAM, MyNBA, The W, and Play Now. Showcase your bag of moves with hyper realism, Powered by ProPLAY™, and challenge your friends, or rivals, in NBA 2K26’s competitive modes—and leave no doubt that you wear the crown.","54% of the 1,493 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 8 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3472040/85138a5e265c37f8c529e7187102e8753bd92527/capsule_231x87_alt_assets_0.jpg?t=1761580807,https://store.steampowered.com/app/3472040/NBA_2K26/?snr=1_7_7_7000_150_1
