title,status,category,tags,release_date,price,is_free,platforms,publisher,developer,description,review_summary,deal_name,deal_expiry,image_url,store_url
War Thunder,,,"Free to Play, Simulation, Vehicular Combat, Combat, World War II, Flight, VR, War, Military, Tanks, Multiplayer, Naval Combat, Massively Multiplayer, Modern, Cold War, Shooter, Action, Realistic, Third Person, Third-Person Shooter","15 Aug, 2013",Free,True,,Gaijin Network Ltd,Gaijin Entertainment,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","73% of the 9,381 user reviews in the last 30 days are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236390/019a2d6b67747f719793df0d241ba81cda31a674/capsule_231x87.jpg?t=1761756693,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1
Digimon Story Time Stranger,,,"RPG, JRPG, Creature Collector, Party-Based RPG, Anime, Collectathon, 3D, Cute, Fantasy, Time Travel, Pixel Graphics, Emotional, Alternate History, Turn-Based Combat, Modern, Mythology, Character Customization, Singleplayer, Story Rich, Team-Based","2 Oct, 2025","₹3,999.00",False,,Bandai Namco Entertainment Inc.,Media.Vision Inc.,"The latest in the Digimon Story series is finally here! In this RPG, unravel a mystery that spans across the human world and the Digital World, collecting and raising a wide variety of Digimon to save the world.","90% of the 7,105 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1984270/150fc2146dfdaf16243b81bd82bcc4ebc059113b/capsule_231x87.jpg?t=1759485332,https://store.steampowered.com/app/1984270/Digimon_Story_Time_Stranger/?snr=1_7_7_7000_150_1
Assassin’s Creed Shadows,,,"Action, Adventure, Open World, Ninja, Female Protagonist, Stealth, Combat, Assassin, 3D, Singleplayer, RPG, Action-Adventure, Action RPG, Swordplay, Third Person, Violent, Parkour, Exploration, Story Rich, Cinematic","19 Mar, 2025","₹2,939.00",False,,Ubisoft,"Ubisoft Quebec, Ubisoft Belgrade, Ubisoft Bordeaux, Ubisoft Bucharest & Craiova, Ubisoft Chengdu, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Osaka, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia, Ubisoft Ukraine",Experience an epic action-adventure story set in feudal Japan! Become a lethal shinobi assassin and powerful legendary samurai as you explore a beautiful open world in a time of chaos.,"69% of the 1,138 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 9 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3159330/fe6c8f40f405c8bb3a05788d1316ebd8e3c31b6a/capsule_231x87.jpg?t=1762330669,https://store.steampowered.com/app/3159330/Assassins_Creed_Shadows/?snr=1_7_7_7000_150_1
Marvel Rivals,,,"Free to Play, Multiplayer, Hero Shooter, Third-Person Shooter, Superhero, PvP, Action, Team-Based, Competitive, Shooter, 3D, Sexual Content, Strategy, Third Person, Online Co-Op, Co-op, Sci-fi, FPS, Psychological Horror, MOBA","5 Dec, 2024",Free,True,,NetEase Games,NetEase Games,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!","63% of the 6,161 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2767030/f77a7018444fbf8bd96dd79de42b4f5d6603d236/capsule_231x87.jpg?t=1760151360,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_7000_150_1
Street Fighter™ 6,,,"2D Fighter, Fighting, Character Customization, Arcade, Multiplayer, Action, Competitive, PvP, Adventure, Singleplayer, eSports, Local Multiplayer, Open World, Controller, Martial Arts, 3D, Action RPG, Great Soundtrack, Mature, LGBTQ+","1 Jun, 2023","₹1,249.00",False,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.","80% of the 1,046 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 11 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1364780/e84f9e9e2a0e6aacbfe5261af89c29be5d3d3f37/capsule_231x87_alt_assets_17.jpg?t=1761116384,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_7000_150_1
NARAKA: BLADEPOINT,,,"Battle Royale, Multiplayer, Martial Arts, Mature, PvP, Action, Female Protagonist, Character Customization, Fighting, Massively Multiplayer, Survival, Third Person, Swordplay, Hack and Slash, Anime, Parkour, Adventure, Free to Play, Violent, Gore","11 Aug, 2021",Free,True,,NetEase Games Global,24 Entertainment,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!","62% of the 1,758 user reviews in the last 30 days are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1203220/9524b3fef44295f98af47c1014f92fc7d9c5a3ad/capsule_231x87.jpg?t=1762333104,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1
FINAL FANTASY XIV Online,,,,"18 Feb, 2014",₹719.00,False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/39210/2e45b2f419d0beed57ba1ff1d80a13d31f947d54/capsule_231x87.jpg?t=1760606311,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_7000_150_1
Sid Meier’s Civilization® VI,,,"Strategy, Turn-Based Strategy, Multiplayer, Historical, Grand Strategy, Singleplayer, Turn-Based, 4X, City Builder, War, Simulation, Tactical, Management, Building, Online Co-Op, Moddable, Great Soundtrack, Co-op, Hex Grid, Atmospheric","20 Oct, 2016",₹249.00,False,,"2K, Aspyr (Mac), Aspyr (Linux)","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?","89% of the 1,197 user reviews in the last 30 days are positive.",,SPECIAL PROMOTION! Offer ends 17 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/289070/capsule_231x87.jpg?t=1740607040,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_7000_150_1
Delta Force,,,"Free to Play, FPS, Extraction Shooter, Massively Multiplayer, Singleplayer, Shooter, Co-op, Action, PvP, PvE, Gun Customization, First-Person, Looter Shooter, Multiplayer, Online Co-Op, Tactical, Hero Shooter, Military, Co-op Campaign, Team-Based","4 Dec, 2024",Free,True,,TiMi Studio Group,Team Jade,"Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign.","31% of the 9,281 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2507950/53b464f7e7f878d096b89577f0e8d234b2280963/capsule_231x87_alt_assets_5.jpg?t=1762324707,https://store.steampowered.com/app/2507950/Delta_Force/?snr=1_7_7_7000_150_1
Baldur's Gate 3,,,,"3 Aug, 2023","₹2,999.00",False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086940/3dd81008e9c385caf68152450c22353f6a8abec9/capsule_231x87.jpg?t=1759825106,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1
VEIN,,,"Early Access, Survival, Open World, Zombies, Exploration, Post-apocalyptic, RPG, Base Building, Co-op, Simulation, Survival Horror, Crafting, Immersive Sim, Action, Sandbox, Multiplayer, Dark, Character Customization, Third-Person Shooter, Action RPG","24 Oct, 2025",₹880.00,False,,Ramjet Studios,Ramjet Studios,"VEIN is a post-apocalyptic survival multiplayer sandbox game. Gather supplies to survive, explore abandoned buildings, defend your home, and rebuild society, whether alone or with friends.","91% of the 1,922 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1857950/a91648a3cbcf3cf55837439c42feb2879449eab0/capsule_231x87.jpg?t=1761862207,https://store.steampowered.com/app/1857950/VEIN/?snr=1_7_7_7000_150_1
